base_ber,base_correct_fraction,complete_recovery,condition_count,cover_stego_psnr,cover_stego_ssim,detail_ber,detail_correct_fraction,method,observation_count,operational_failure_count,pair_id,payload_correct_fraction,peak_memory_bytes,raw_ber,raw_secret_correct_fraction,reconstruction_ncc,reconstruction_psnr,reconstruction_ssim,runtime_seconds,unknown_bit_fraction,valid_base_only_recovery
,,0.1,10,45.5869159237685,0.9871693589337683,,,B1,22,0,coco-000000031735-000000273715,0.70477294921875,151774412.79999998,0.29522705078125,0.70477294921875,0.8709717119191083,13.13437093185523,0.3115621948028083,0.009923222066754535,0.0,
,,0.0,10,,,,,B2,22,0,coco-000000031735-000000273715,,151721301.3333333,,,,,,,,
0.0,0.1,0.1,10,45.00000094864638,0.9836135723644214,0.0,0.1,C0,22,0,coco-000000031735-000000273715,0.1,139988582.4,0.3065244048689812,1.0,1.0,,1.0,2.81936943556672,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9839431520802405,0.0,0.1,C1,22,0,coco-000000031735-000000273715,0.1,151500117.33333334,0.3055844876176771,1.0,1.0,,1.0,1.983875511666459,0.9,0.1
0.0,0.1,0.1,10,45.00002511919936,0.9836240850429782,0.0,0.1,C2,22,0,coco-000000031735-000000273715,0.1,151781376.0,0.3064771841458296,1.0,1.0,,1.0,1.9298624457667757,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9839567447311156,0.0,0.1,C3,22,0,coco-000000031735-000000273715,0.1,151641156.2666667,0.3057126581519458,1.0,1.0,,1.0,3.095873661033086,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9839538708910529,0.0,0.1,C3_NP,22,0,coco-000000031735-000000273715,0.1,151750655.99999997,0.3050493194219584,1.0,1.0,,1.0,1.9746403455664527,0.9,0.1
,,0.1,10,45.82565955972286,0.990572474244747,,,B1,22,0,coco-000000057725-000000406570,0.7029627482096353,152474692.26666668,0.29703725179036455,0.7029627482096353,0.8969860803069668,14.054569955442105,0.3061425117737845,0.007060860566707562,0.0,
,,0.0,10,,,,,B2,22,0,coco-000000057725-000000406570,,152788036.26666668,,,,,,,,
0.0,0.1,0.1,10,45.00001706233342,0.9864882983935743,0.0,0.1,C0,22,0,coco-000000057725-000000406570,0.1,152805512.53333333,0.30655033878995025,1.0,1.0,,1.0,2.047579535833271,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9860666638793351,0.0,0.1,C1,22,0,coco-000000057725-000000406570,0.1,152601668.26666665,0.30565554356299096,1.0,1.0,,1.0,1.8003979606669116,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9864847920891096,0.0,0.1,C2,22,0,coco-000000057725-000000406570,0.1,153021235.2,0.3064125742039935,1.0,1.0,,1.0,2.8784953143333647,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9860894848162018,0.0,0.1,C3,22,0,coco-000000057725-000000406570,0.1,152897945.6,0.30587770582239016,1.0,1.0,,1.0,1.9948039751334363,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9860697945743399,0.0,0.1,C3_NP,22,0,coco-000000057725-000000406570,0.1,153274094.93333334,0.3057354440247047,1.0,1.0,,1.0,2.5956925204331127,0.9,0.1
,,0.1,10,45.89879529950395,0.9888967835476835,,,B1,22,0,coco-000000078266-000000481413,0.7060190836588542,157918003.2,0.29398091634114587,0.7060190836588542,0.9098745854730866,14.18068518959323,0.28344301427159074,0.016975205633692286,0.0,
,,0.0,10,,,,,B2,22,0,coco-000000078266-000000481413,,156693572.26666665,,,,,,,,
0.0,0.1,0.1,10,45.00001706233342,0.9854913954954636,0.0,0.1,C0,22,0,coco-000000078266-000000481413,0.1,156059921.06666666,0.30909291239431547,1.0,1.0000000000000002,,1.0,1.8253603867997295,0.9,0.1
